,snr,machine,id,condition,file,path,y_array,ftt
701,+6b,valve,id_00,normal,00000582.wav,+6b/valve/id_00/normal/00000582.wav,"[-0.00106812 -0.00073242 -0.0005455  ... -0.00337601 -0.00360107
 -0.00286865]","[[0.00550796]
 [0.03508108]
 [0.05195433]
 ...
 [0.00232569]
 [0.00170705]
 [0.00109932]]"
702,+6b,valve,id_00,normal,00000583.wav,+6b/valve/id_00/normal/00000583.wav,"[ 5.64575195e-04  1.79290771e-04 -1.02996826e-04 ... -5.97763062e-03
 -7.24792480e-05 -3.89099121e-04]","[[0.03097257]
 [0.04818122]
 [0.02950743]
 ...
 [0.00188615]
 [0.00303957]
 [0.00269077]]"
703,+6b,valve,id_00,normal,00000584.wav,+6b/valve/id_00/normal/00000584.wav,"[-0.00679398 -0.00196075 -0.0030632  ...  0.00174713  0.00290298
  0.0030899 ]","[[0.06357989]
 [0.04261551]
 [0.01921085]
 ...
 [0.00547514]
 [0.00761227]
 [0.00876948]]"
704,+6b,valve,id_00,normal,00000585.wav,+6b/valve/id_00/normal/00000585.wav,[0.00366592 0.00339508 0.00280762 ... 0.00040817 0.00134659 0.00196838],"[[0.00472963]
 [0.00569293]
 [0.04486909]
 ...
 [0.00352226]
 [0.00023598]
 [0.00113421]]"
705,+6b,valve,id_00,normal,00000586.wav,+6b/valve/id_00/normal/00000586.wav,"[-0.00376129 -0.00302124 -0.00304031 ... -0.0004425  -0.00053787
 -0.00051117]","[[0.11378656]
 [0.07479496]
 [0.00233902]
 ...
 [0.01728628]
 [0.00475179]
 [0.00711932]]"
706,+6b,valve,id_00,normal,00000587.wav,+6b/valve/id_00/normal/00000587.wav,"[-2.4032593e-04 -7.3623657e-04 -8.8882446e-04 ... -1.1444092e-04
 -5.3405762e-05 -2.4032593e-04]","[[0.1176485 ]
 [0.19521353]
 [0.12186933]
 ...
 [0.00075867]
 [0.00193545]
 [0.00297447]]"
707,+6b,valve,id_00,normal,00000588.wav,+6b/valve/id_00/normal/00000588.wav,"[-0.00270462 -0.002388   -0.00242996 ...  0.00206375  0.0022583
  0.00238419]","[[0.06512253]
 [0.05952299]
 [0.09116069]
 ...
 [0.00060338]
 [0.00197586]
 [0.00221477]]"
708,+6b,valve,id_00,normal,00000589.wav,+6b/valve/id_00/normal/00000589.wav,"[ 0.00365067  0.0043335   0.00441742 ... -0.00575256 -0.00579453
 -0.00497437]","[[0.15514503]
 [0.09136463]
 [0.02056803]
 ...
 [0.00123112]
 [0.00298246]
 [0.00292693]]"
709,+6b,valve,id_00,normal,00000590.wav,+6b/valve/id_00/normal/00000590.wav,[0.00021362 0.00062561 0.00067902 ... 0.00468826 0.0042572  0.00356293],"[[0.2179253 ]
 [0.24104123]
 [0.3708718 ]
 ...
 [0.00286982]
 [0.00107541]
 [0.00114598]]"
710,+6b,valve,id_00,normal,00000591.wav,+6b/valve/id_00/normal/00000591.wav,"[ 2.9525757e-03  2.5672913e-03  2.0523071e-03 ...  4.3106079e-04
  9.5367432e-05 -1.9073486e-04]","[[0.15918936]
 [0.147907  ]
 [0.12928505]
 ...
 [0.00162393]
 [0.00175252]
 [0.00214681]]"
711,+6b,valve,id_00,normal,00000592.wav,+6b/valve/id_00/normal/00000592.wav,"[ 0.00531769  0.00468826  0.00390625 ... -0.00304031 -0.00404358
 -0.00485229]","[[7.7762336e-02]
 [1.2278735e-02]
 [1.8194488e-01]
 ...
 [3.5362787e-04]
 [5.0302013e-05]
 [1.4524703e-04]]"
712,+6b,valve,id_00,normal,00000593.wav,+6b/valve/id_00/normal/00000593.wav,"[-0.00349426 -0.00363541 -0.00354004 ... -0.00112534 -0.00068283
 -0.00025558]","[[0.15440291]
 [0.14884643]
 [0.1489177 ]
 ...
 [0.00180959]
 [0.00196518]
 [0.00098821]]"
713,+6b,valve,id_00,normal,00000594.wav,+6b/valve/id_00/normal/00000594.wav,"[-0.00398254 -0.00302887 -0.00231552 ...  0.00048447  0.00128555
  0.00168991]","[[0.21417606]
 [0.22246253]
 [0.0295509 ]
 ...
 [0.00300379]
 [0.03908459]
 [0.0629915 ]]"
714,+6b,valve,id_00,normal,00000595.wav,+6b/valve/id_00/normal/00000595.wav,"[ 0.00117111  0.00180054  0.00309753 ... -0.0019455  -0.00274277
 -0.00289536]","[[3.8831212e-02]
 [4.3788765e-02]
 [3.0135095e-02]
 ...
 [1.0999426e-03]
 [6.3883432e-05]
 [8.5020642e-04]]"
715,+6b,valve,id_00,normal,00000596.wav,+6b/valve/id_00/normal/00000596.wav,"[-0.00063705 -0.00078201 -0.00072098 ... -0.00217056 -0.00141144
 -0.00110626]","[[0.0790038 ]
 [0.08748403]
 [0.12704806]
 ...
 [0.00018491]
 [0.00041004]
 [0.00054871]]"
716,+6b,valve,id_00,normal,00000597.wav,+6b/valve/id_00/normal/00000597.wav,"[ 0.00025177 -0.00114822 -0.00080872 ...  0.00066376  0.00021362
 -0.00070572]","[[0.03936853]
 [0.04380485]
 [0.01377596]
 ...
 [0.00129284]
 [0.00259965]
 [0.00062713]]"
717,+6b,valve,id_00,normal,00000598.wav,+6b/valve/id_00/normal/00000598.wav,"[-0.00017166 -0.00194931  0.00039673 ... -0.00072098 -0.00025558
  0.00019836]","[[0.13835876]
 [0.06409669]
 [0.02384355]
 ...
 [0.00217768]
 [0.00356905]
 [0.00094451]]"
718,+6b,valve,id_00,normal,00000599.wav,+6b/valve/id_00/normal/00000599.wav,"[ 0.00093842  0.00094223  0.00074005 ... -0.00396347 -0.00289536
 -0.00318146]","[[0.33485022]
 [0.4065285 ]
 [0.3786883 ]
 ...
 [0.00516307]
 [0.00522277]
 [0.00496235]]"
719,+6b,valve,id_00,normal,00000600.wav,+6b/valve/id_00/normal/00000600.wav,"[-0.00217056 -0.00399017 -0.00621033 ... -0.00276566 -0.0029068
 -0.00293732]","[[0.0705739 ]
 [0.17955695]
 [0.35797635]
 ...
 [0.00052169]
 [0.00118655]
 [0.00258655]]"
720,+6b,valve,id_00,normal,00000601.wav,+6b/valve/id_00/normal/00000601.wav,[0.00123596 0.00090027 0.00061798 ... 0.00407791 0.00361633 0.00321579],"[[0.1810601 ]
 [0.08316163]
 [0.24069935]
 ...
 [0.00174445]
 [0.00242072]
 [0.00515034]]"
721,+6b,valve,id_00,normal,00000602.wav,+6b/valve/id_00/normal/00000602.wav,[0.00179291 0.00195694 0.00144577 ... 0.00128555 0.00180054 0.00200653],"[[0.3484076 ]
 [0.34316298]
 [0.31895363]
 ...
 [0.00171926]
 [0.00245927]
 [0.00258007]]"
722,+6b,valve,id_00,normal,00000603.wav,+6b/valve/id_00/normal/00000603.wav,"[ 0.00358582  0.00318527  0.00079727 ... -0.00147629 -0.0013504
 -0.00234604]","[[0.12274227]
 [0.15304238]
 [0.16423507]
 ...
 [0.0042487 ]
 [0.00227338]
 [0.00634491]]"
723,+6b,valve,id_00,normal,00000604.wav,+6b/valve/id_00/normal/00000604.wav,[0.00048828 0.00383377 0.00202942 ... 0.00106812 0.00105667 0.00028992],"[[0.19306275]
 [0.1204873 ]
 [0.0030292 ]
 ...
 [0.00525191]
 [0.00852941]
 [0.0084614 ]]"
724,+6b,valve,id_00,normal,00000605.wav,+6b/valve/id_00/normal/00000605.wav,[0.0022583  0.00185013 0.00169754 ... 0.00082016 0.00095749 0.00097656],"[[2.9693279e-01]
 [4.4209081e-01]
 [3.6644670e-01]
 ...
 [2.0065879e-04]
 [8.3888724e-04]
 [7.7327859e-04]]"
725,+6b,valve,id_00,normal,00000606.wav,+6b/valve/id_00/normal/00000606.wav,"[ 2.4795532e-04 -3.8146973e-05 -7.4386597e-04 ... -3.8223267e-03
 -3.7765503e-03 -4.0206909e-03]","[[0.00202618]
 [0.01569528]
 [0.11513665]
 ...
 [0.00033474]
 [0.00083006]
 [0.00104385]]"
726,+6b,valve,id_00,normal,00000607.wav,+6b/valve/id_00/normal/00000607.wav,[0.00283051 0.00294113 0.0030899  ... 0.00415802 0.00477219 0.00543213],"[[0.07128815]
 [0.01440984]
 [0.03510305]
 ...
 [0.00847757]
 [0.01198387]
 [0.01678609]]"
727,+6b,valve,id_00,normal,00000608.wav,+6b/valve/id_00/normal/00000608.wav,"[ 0.00262451  0.00307846  0.00244904 ... -0.00055695  0.00059891
  0.00178528]","[[0.01591185]
 [0.01054353]
 [0.06640681]
 ...
 [0.00473487]
 [0.0001171 ]
 [0.00145388]]"
728,+6b,valve,id_00,normal,00000609.wav,+6b/valve/id_00/normal/00000609.wav,"[ 5.4931641e-04  2.5939941e-04 -3.8146973e-06 ... -2.1781921e-03
 -1.9912720e-03 -1.1253357e-03]","[[0.02593046]
 [0.0717572 ]
 [0.11034191]
 ...
 [0.00183458]
 [0.00021008]
 [0.00033811]]"
729,+6b,valve,id_00,normal,00000610.wav,+6b/valve/id_00/normal/00000610.wav,"[-2.9296875e-03 -3.2691956e-03 -2.2468567e-03 ... -7.6293945e-06
 -6.5994263e-04 -5.2261353e-04]","[[2.7075696e-01]
 [3.7538579e-01]
 [3.2467285e-01]
 ...
 [4.1493098e-03]
 [3.9145602e-03]
 [3.3363160e-06]]"
730,+6b,valve,id_00,normal,00000611.wav,+6b/valve/id_00/normal/00000611.wav,[0.00085068 0.00112152 0.00125122 ... 0.00416183 0.0033989  0.00164413],"[[7.9829201e-02]
 [1.2293453e-01]
 [1.8916105e-01]
 ...
 [1.3206489e-04]
 [4.9888398e-03]
 [8.2680285e-03]]"
731,+6b,valve,id_00,normal,00000612.wav,+6b/valve/id_00/normal/00000612.wav,"[ 0.00153732  0.00188065  0.00263214 ... -0.00393677 -0.00391006
 -0.00413513]","[[0.31974664]
 [0.30071378]
 [0.37131393]
 ...
 [0.0007996 ]
 [0.00113526]
 [0.00086162]]"
732,+6b,valve,id_00,normal,00000613.wav,+6b/valve/id_00/normal/00000613.wav,"[ 0.00116348  0.00117493  0.0002594  ... -0.00286484 -0.0024147
 -0.00253296]","[[0.22905342]
 [0.171164  ]
 [0.20719388]
 ...
 [0.00153449]
 [0.00615241]
 [0.00908703]]"
733,+6b,valve,id_00,normal,00000614.wav,+6b/valve/id_00/normal/00000614.wav,[0.00077057 0.00064468 0.00076294 ... 0.00214386 0.00225067 0.00250244],"[[0.20742288]
 [0.16209145]
 [0.23044927]
 ...
 [0.00043667]
 [0.00099984]
 [0.00099377]]"
734,+6b,valve,id_00,normal,00000615.wav,+6b/valve/id_00/normal/00000615.wav,"[-0.00300217 -0.00334167 -0.00303268 ...  0.0035553   0.0038147
  0.00395966]","[[0.01157034]
 [0.03906325]
 [0.16573903]
 ...
 [0.00221557]
 [0.00312556]
 [0.00378286]]"
735,+6b,valve,id_00,normal,00000616.wav,+6b/valve/id_00/normal/00000616.wav,"[ 0.00082779  0.00095749  0.001091   ... -0.00053406 -0.00222015
 -0.00297546]","[[0.41307628]
 [0.25888294]
 [0.20057999]
 ...
 [0.00171627]
 [0.00213589]
 [0.00350494]]"
736,+6b,valve,id_00,normal,00000617.wav,+6b/valve/id_00/normal/00000617.wav,"[-0.00043106  0.00244141  0.00530243 ... -0.00229645 -0.00263977
 -0.00269699]","[[0.10299814]
 [0.05811853]
 [0.10570113]
 ...
 [0.00156992]
 [0.00108408]
 [0.00497615]]"
737,+6b,valve,id_00,normal,00000618.wav,+6b/valve/id_00/normal/00000618.wav,"[-0.00110626  0.          0.00047302 ...  0.00373077  0.00378036
  0.00372696]","[[0.03354412]
 [0.07451025]
 [0.19284756]
 ...
 [0.00536257]
 [0.00342907]
 [0.0011357 ]]"
738,+6b,valve,id_00,normal,00000619.wav,+6b/valve/id_00/normal/00000619.wav,"[-0.00162506 -0.00036621  0.00071716 ...  0.00340271  0.0044632
  0.0045433 ]","[[0.11337165]
 [0.12593567]
 [0.29483235]
 ...
 [0.00362225]
 [0.0013683 ]
 [0.00045543]]"
739,+6b,valve,id_00,normal,00000620.wav,+6b/valve/id_00/normal/00000620.wav,"[-0.00248718 -0.00311661 -0.00360107 ...  0.00115585  0.00100327
  0.00074768]","[[0.1331604 ]
 [0.2650245 ]
 [0.08916658]
 ...
 [0.00076148]
 [0.00182491]
 [0.00368865]]"
740,+6b,valve,id_00,normal,00000621.wav,+6b/valve/id_00/normal/00000621.wav,[0.00141525 0.00106812 0.0008812  ... 0.00489044 0.0043602  0.00386047],"[[0.07290685]
 [0.02979377]
 [0.10067291]
 ...
 [0.00195456]
 [0.00210748]
 [0.00103108]]"
741,+6b,valve,id_00,normal,00000622.wav,+6b/valve/id_00/normal/00000622.wav,"[-1.2245178e-03 -3.2043457e-04 -6.1035156e-05 ... -9.8037720e-04
 -1.3160706e-03 -1.2245178e-03]","[[0.33307666]
 [0.20400374]
 [0.1780751 ]
 ...
 [0.6634726 ]
 [0.6997377 ]
 [0.7003559 ]]"
742,+6b,valve,id_00,normal,00000623.wav,+6b/valve/id_00/normal/00000623.wav,"[-0.00225449 -0.00226974 -0.00060272 ...  0.00314713  0.00231171
  0.00149536]","[[0.19625524]
 [0.21052015]
 [0.28142214]
 ...
 [0.00297199]
 [0.00285468]
 [0.003222  ]]"
743,+6b,valve,id_00,normal,00000624.wav,+6b/valve/id_00/normal/00000624.wav,"[-0.0003624  -0.0001564  -0.00022125 ... -0.00033188  0.00115585
  0.00267029]","[[0.16657776]
 [0.13845672]
 [0.11741614]
 ...
 [0.00113363]
 [0.00203654]
 [0.00240523]]"
744,+6b,valve,id_00,normal,00000625.wav,+6b/valve/id_00/normal/00000625.wav,"[-0.0014267  -0.00095749 -0.00082779 ...  0.00302505  0.00379944
  0.00456619]","[[0.04280318]
 [0.0104012 ]
 [0.16297972]
 ...
 [0.01085472]
 [0.01588904]
 [0.01636083]]"
745,+6b,valve,id_00,normal,00000626.wav,+6b/valve/id_00/normal/00000626.wav,"[ 0.00094223  0.00118256  0.00154114 ... -0.00078201 -0.00114441
 -0.00164413]","[[0.02914094]
 [0.04465618]
 [0.01654332]
 ...
 [0.00027421]
 [0.00248153]
 [0.00362552]]"
746,+6b,valve,id_00,normal,00000627.wav,+6b/valve/id_00/normal/00000627.wav,"[ 0.00076675  0.00011063 -0.00127411 ...  0.00402832  0.00469971
  0.0047226 ]","[[0.07395016]
 [0.08903855]
 [0.07539896]
 ...
 [0.00385067]
 [0.00241458]
 [0.00064577]]"
747,+6b,valve,id_00,normal,00000628.wav,+6b/valve/id_00/normal/00000628.wav,"[ 0.00022507 -0.00035858 -0.00061035 ... -0.00552368 -0.00456619
 -0.00323105]","[[0.01740479]
 [0.0019207 ]
 [0.01682695]
 ...
 [0.00138986]
 [0.00431114]
 [0.0056502 ]]"
748,+6b,valve,id_00,normal,00000629.wav,+6b/valve/id_00/normal/00000629.wav,"[-0.00071716 -0.00071335 -0.0007019  ...  0.00308609  0.00201416
  0.00084686]","[[0.01291291]
 [0.05485458]
 [0.13917872]
 ...
 [0.0004733 ]
 [0.00073866]
 [0.00177011]]"
749,+6b,valve,id_00,normal,00000630.wav,+6b/valve/id_00/normal/00000630.wav,"[-3.7765503e-04 -8.0108643e-05  4.8065186e-04 ... -3.4942627e-03
 -3.8871765e-03 -3.6926270e-03]","[[0.19688496]
 [0.13368443]
 [0.05246782]
 ...
 [0.00047955]
 [0.00220361]
 [0.00428941]]"
750,+6b,valve,id_00,normal,00000631.wav,+6b/valve/id_00/normal/00000631.wav,"[-0.0008316  -0.00105286 -0.00127411 ... -0.00255203 -0.00244904
 -0.00218964]","[[2.3820154e-01]
 [2.8399459e-01]
 [4.7794926e-01]
 ...
 [1.6884344e-03]
 [1.4600312e-04]
 [4.4835423e-04]]"
751,+6b,valve,id_00,normal,00000632.wav,+6b/valve/id_00/normal/00000632.wav,"[-0.00390244 -0.00510025 -0.00650024 ...  0.00031662  0.00056839
  0.00080872]","[[1.4804035e-01]
 [6.6643797e-02]
 [1.8254757e-02]
 ...
 [4.4482606e-03]
 [7.9913833e-04]
 [2.4028575e-05]]"
752,+6b,valve,id_00,normal,00000633.wav,+6b/valve/id_00/normal/00000633.wav,[0.00062561 0.0005455  0.00049591 ... 0.00137329 0.00122833 0.00134659],"[[0.13521576]
 [0.16993889]
 [0.22315125]
 ...
 [0.00313973]
 [0.00024373]
 [0.00114787]]"
753,+6b,valve,id_00,normal,00000634.wav,+6b/valve/id_00/normal/00000634.wav,"[-0.00204849 -0.00205994 -0.00191498 ...  0.00333405  0.00350571
  0.00355911]","[[0.18784145]
 [0.09468964]
 [0.23310202]
 ...
 [0.01365624]
 [0.00470878]
 [0.02066326]]"
754,+6b,valve,id_00,normal,00000635.wav,+6b/valve/id_00/normal/00000635.wav,"[-0.00116348 -0.00086975  0.00012589 ...  0.00167847  0.00241089
  0.00262833]","[[2.1814865e-01]
 [2.1941552e-01]
 [1.4463954e-01]
 ...
 [3.9507300e-05]
 [4.8124878e-04]
 [1.2486982e-03]]"
755,+6b,valve,id_00,normal,00000636.wav,+6b/valve/id_00/normal/00000636.wav,"[-0.00115967 -0.00063324 -0.00027084 ... -0.00261688  0.00205994
  0.00109863]","[[0.12527631]
 [0.08991884]
 [0.07390694]
 ...
 [0.00431331]
 [0.00019441]
 [0.00397899]]"
756,+6b,valve,id_00,normal,00000637.wav,+6b/valve/id_00/normal/00000637.wav,"[ 0.00135422  0.00132751  0.00120163 ... -0.00042725 -0.00056458
 -0.00073624]","[[0.1626045 ]
 [0.21954763]
 [0.2366941 ]
 ...
 [0.00188842]
 [0.00249345]
 [0.00150443]]"
757,+6b,valve,id_00,normal,00000638.wav,+6b/valve/id_00/normal/00000638.wav,[0.00100327 0.00080109 0.00092316 ... 0.00379944 0.00471497 0.00483322],"[[5.4769818e-02]
 [4.9608104e-02]
 [2.7322274e-01]
 ...
 [2.4411926e-05]
 [5.2300899e-04]
 [2.9535659e-04]]"
758,+6b,valve,id_00,normal,00000639.wav,+6b/valve/id_00/normal/00000639.wav,"[-0.00085831 -0.00078964 -0.00110245 ...  0.00344849 -0.00069809
  0.00082779]","[[0.01659766]
 [0.04815733]
 [0.13400769]
 ...
 [0.00196469]
 [0.00293391]
 [0.00514094]]"
759,+6b,valve,id_00,normal,00000640.wav,+6b/valve/id_00/normal/00000640.wav,"[-0.00682068  0.00049591 -0.00491333 ... -0.00436783 -0.00431824
 -0.00411224]","[[0.5709637 ]
 [0.5288747 ]
 [0.5868543 ]
 ...
 [0.00985454]
 [0.0098461 ]
 [0.00926408]]"
760,+6b,valve,id_00,normal,00000641.wav,+6b/valve/id_00/normal/00000641.wav,"[ 0.00164413  0.00136185  0.00045395 ... -0.00033188  0.00100708
  0.00186539]","[[0.00061631]
 [0.01673092]
 [0.10261343]
 ...
 [0.00254353]
 [0.0007083 ]
 [0.00318908]]"
761,+6b,valve,id_00,normal,00000642.wav,+6b/valve/id_00/normal/00000642.wav,"[ 1.2130737e-03  7.1334839e-04  3.5858154e-04 ... -1.2245178e-03
  5.1879883e-04  7.2479248e-05]","[[3.0428618e-01]
 [3.4016305e-01]
 [2.4111789e-01]
 ...
 [9.5987198e-06]
 [1.1440503e-03]
 [9.8756922e-04]]"
762,+6b,valve,id_00,normal,00000643.wav,+6b/valve/id_00/normal/00000643.wav,"[ 0.00028992 -0.00055313  0.00048447 ...  0.00363159  0.00349808
  0.00178146]","[[0.11337197]
 [0.08292264]
 [0.14877619]
 ...
 [0.00626541]
 [0.00579794]
 [0.00555808]]"
763,+6b,valve,id_00,normal,00000644.wav,+6b/valve/id_00/normal/00000644.wav,"[ 0.00017548 -0.00082397 -0.00084686 ...  0.00287247  0.0033989
  0.00342178]","[[0.31210744]
 [0.20702624]
 [0.1562387 ]
 ...
 [0.00189186]
 [0.00245132]
 [0.00364118]]"
764,+6b,valve,id_00,normal,00000645.wav,+6b/valve/id_00/normal/00000645.wav,"[-0.00436401 -0.00399017 -0.00355148 ...  0.00057983  0.00092316
  0.00138092]","[[0.11471538]
 [0.03098911]
 [0.01910095]
 ...
 [0.00203468]
 [0.00151811]
 [0.00083519]]"
765,+6b,valve,id_00,normal,00000646.wav,+6b/valve/id_00/normal/00000646.wav,"[-0.00345612 -0.00341797 -0.00313568 ... -0.00102234 -0.00077057
 -0.00096512]","[[4.2886294e-02]
 [8.8747315e-02]
 [6.4575195e-02]
 ...
 [1.0568026e-03]
 [2.5051524e-04]
 [9.0858019e-05]]"
766,+6b,valve,id_00,normal,00000647.wav,+6b/valve/id_00/normal/00000647.wav,"[-4.6386719e-03 -4.2724609e-03 -3.3760071e-03 ... -3.5476685e-04
  2.6702881e-05 -2.8228760e-04]","[[0.23238595]
 [0.10338359]
 [0.1000061 ]
 ...
 [0.0083336 ]
 [0.00438626]
 [0.00888539]]"
767,+6b,valve,id_00,normal,00000648.wav,+6b/valve/id_00/normal/00000648.wav,[0.00057602 0.00117111 0.00035858 ... 0.00302887 0.00234985 0.00199127],"[[1.3044368e-01]
 [1.7925246e-01]
 [1.9905013e-01]
 ...
 [4.3085101e-04]
 [3.9236125e-05]
 [4.3604057e-04]]"
768,+6b,valve,id_00,normal,00000649.wav,+6b/valve/id_00/normal/00000649.wav,[0.00290298 0.00226593 0.00216675 ... 0.00147247 0.0022049  0.00292969],"[[0.16572416]
 [0.1451439 ]
 [0.00645853]
 ...
 [0.0016684 ]
 [0.00180071]
 [0.0015778 ]]"
769,+6b,valve,id_00,normal,00000650.wav,+6b/valve/id_00/normal/00000650.wav,[0.00268555 0.002285   0.00111008 ... 0.00102234 0.00125122 0.00149536],"[[0.69528586]
 [0.69645876]
 [0.4292244 ]
 ...
 [0.00127722]
 [0.00096159]
 [0.00268169]]"
770,+6b,valve,id_00,normal,00000651.wav,+6b/valve/id_00/normal/00000651.wav,"[ 0.00396729  0.00450897  0.00502777 ...  0.00035095  0.00019073
 -0.00011444]","[[0.1700295 ]
 [0.19975258]
 [0.4575902 ]
 ...
 [0.00107443]
 [0.0009623 ]
 [0.00128775]]"
771,+6b,valve,id_00,normal,00000652.wav,+6b/valve/id_00/normal/00000652.wav,[0.00118637 0.00104904 0.00094223 ... 0.00354767 0.0027504  0.00394058],"[[1.0396257e-02]
 [2.5561346e-02]
 [6.8381198e-02]
 ...
 [2.3117034e-04]
 [3.6434431e-04]
 [6.1065570e-05]]"
772,+6b,valve,id_00,normal,00000653.wav,+6b/valve/id_00/normal/00000653.wav,"[-0.00121307  0.000103    0.00098801 ...  0.00363922  0.00469208
  0.00540924]","[[0.07707657]
 [0.05432225]
 [0.04882711]
 ...
 [0.00010578]
 [0.00105176]
 [0.00162255]]"
773,+6b,valve,id_00,normal,00000654.wav,+6b/valve/id_00/normal/00000654.wav,"[ 0.00304413  0.00289154  0.00288391 ... -0.00196075 -0.00162506
 -0.00214005]","[[0.09315775]
 [0.11395436]
 [0.04254088]
 ...
 [0.00575521]
 [0.00464742]
 [0.00310143]]"
774,+6b,valve,id_00,normal,00000655.wav,+6b/valve/id_00/normal/00000655.wav,[0.00098038 0.00139618 0.00141525 ... 0.00080109 0.00151443 0.00245285],"[[2.5443602e-01]
 [3.8464442e-01]
 [6.2973732e-01]
 ...
 [3.2970670e-04]
 [3.3551309e-04]
 [4.5564614e-04]]"
775,+6b,valve,id_00,normal,00000656.wav,+6b/valve/id_00/normal/00000656.wav,[0.00124359 0.00069046 0.00043869 ... 0.00195694 0.00153351 0.00128174],"[[0.30691618]
 [0.19074522]
 [0.10957206]
 ...
 [0.00430551]
 [0.00426925]
 [0.00353057]]"
776,+6b,valve,id_00,normal,00000657.wav,+6b/valve/id_00/normal/00000657.wav,"[-0.00020981  0.00022125  0.00071716 ...  0.00424957  0.00439453
  0.00363922]","[[0.05027238]
 [0.02091787]
 [0.02450472]
 ...
 [0.00282656]
 [0.00389192]
 [0.0050288 ]]"
777,+6b,valve,id_00,normal,00000658.wav,+6b/valve/id_00/normal/00000658.wav,"[-0.00135422  0.00179672  0.00483704 ...  0.00157166  0.00081635
 -0.00178146]","[[0.02431138]
 [0.08352779]
 [0.18018785]
 ...
 [0.00198072]
 [0.00493494]
 [0.01176688]]"
778,+6b,valve,id_00,normal,00000659.wav,+6b/valve/id_00/normal/00000659.wav,[0.00100327 0.00114059 0.0014267  ... 0.00130463 0.00117493 0.00085831],"[[1.4366642e-01]
 [3.2703060e-01]
 [8.0813754e-01]
 ...
 [5.5675581e-04]
 [2.2657965e-03]
 [3.3180253e-03]]"
779,+6b,valve,id_00,normal,00000660.wav,+6b/valve/id_00/normal/00000660.wav,"[-0.00214767 -0.00190353 -0.00143433 ... -0.00240326 -0.0022316
 -0.00183105]","[[1.0540622e-02]
 [4.7416687e-02]
 [1.1979308e-01]
 ...
 [7.2343093e-05]
 [8.3356706e-04]
 [1.1105151e-03]]"
780,+6b,valve,id_00,normal,00000661.wav,+6b/valve/id_00/normal/00000661.wav,"[-0.00158691 -0.00127029 -0.00086594 ...  0.00321198  0.0041008
  0.00531006]","[[0.15988842]
 [0.20383096]
 [0.18319716]
 ...
 [0.0026177 ]
 [0.00300597]
 [0.0026523 ]]"
781,+6b,valve,id_00,normal,00000662.wav,+6b/valve/id_00/normal/00000662.wav,"[-0.00017548 -0.00020599 -0.00056458 ... -0.0017662  -0.00067139
 -0.00035477]","[[4.2478882e-02]
 [7.1829163e-02]
 [2.6264703e-02]
 ...
 [1.7702996e-04]
 [2.5488416e-05]
 [4.0353736e-04]]"
782,+6b,valve,id_00,normal,00000663.wav,+6b/valve/id_00/normal/00000663.wav,"[ 0.00066757  0.00085449  0.00112152 ... -0.00224686 -0.00220871
 -0.00166702]","[[0.04974812]
 [0.03994916]
 [0.05411992]
 ...
 [0.00307169]
 [0.00256896]
 [0.00224785]]"
783,+6b,valve,id_00,normal,00000664.wav,+6b/valve/id_00/normal/00000664.wav,[0.00189972 0.00255585 0.00326538 ... 0.00022888 0.00034714 0.0005722 ],"[[0.08696663]
 [0.08618423]
 [0.20930526]
 ...
 [0.00277477]
 [0.00751295]
 [0.00747048]]"
784,+6b,valve,id_00,normal,00000665.wav,+6b/valve/id_00/normal/00000665.wav,"[ 0.00073624  0.00089264  0.00089645 ... -0.00143814 -0.00156403
 -0.00140762]","[[1.0645631e-01]
 [1.4862682e-01]
 [1.6453782e-01]
 ...
 [5.1810530e-06]
 [2.1373020e-03]
 [2.6735773e-03]]"
785,+6b,valve,id_00,normal,00000666.wav,+6b/valve/id_00/normal/00000666.wav,[0.00353241 0.00427628 0.00435257 ... 0.00278473 0.00304794 0.00353622],"[[0.02219928]
 [0.05387454]
 [0.04775829]
 ...
 [0.00051429]
 [0.00112797]
 [0.00333271]]"
786,+6b,valve,id_00,normal,00000667.wav,+6b/valve/id_00/normal/00000667.wav,"[ 0.00196457  0.00183487  0.00144577 ... -0.00091171 -0.0012207
 -0.00154114]","[[0.6019669 ]
 [0.561385  ]
 [0.6967261 ]
 ...
 [0.0012311 ]
 [0.00286829]
 [0.00342452]]"
787,+6b,valve,id_00,normal,00000668.wav,+6b/valve/id_00/normal/00000668.wav,"[-0.00193787 -0.00203323 -0.00261307 ...  0.00134659  0.00152588
  0.00255966]","[[2.1684562e-01]
 [1.6368863e-01]
 [1.0497741e-01]
 ...
 [1.3768728e-04]
 [2.0676120e-03]
 [3.8093848e-03]]"
788,+6b,valve,id_00,normal,00000669.wav,+6b/valve/id_00/normal/00000669.wav,"[ 0.00061035  0.00064087  0.00100708 ... -0.00061417  0.00040817
  0.00094223]","[[0.16619165]
 [0.22153027]
 [0.35012102]
 ...
 [0.00218579]
 [0.00182697]
 [0.00416522]]"
789,+6b,valve,id_00,normal,00000670.wav,+6b/valve/id_00/normal/00000670.wav,"[ 0.00213623  0.00206757  0.00214386 ... -0.00195694 -0.00242233
 -0.00301743]","[[1.1763746e-01]
 [2.1259291e-01]
 [3.3733842e-01]
 ...
 [8.7200577e-04]
 [2.7229043e-04]
 [1.0008744e-03]]"
